6.3928563432,-14.2893063742,1506365905.13421,Time,X,Y,,
3.0509193758,-11.0819707793,1506365908.34175,0.0200009346,3.2379178237,4.0526769396,,
2.5205429272,-7.9052534494,1506365908.36176,0.020001173,0.5303764486,3.1767173299,,
2.4559050011,-5.24235918,1506365908.38301,0.0212528706,0.064637926,2.6628942693,,
0.2152623906,-2.3493445089,1506365908.40301,0.0199999809,2.2406426105,2.8930146711,,
-0.2496026696,-1.2546707818,1506365908.42299,0.0199790001,0.4648650602,1.0946737271,,
-1.6274759715,0.2479122093,1506365908.45424,0.0312559605,1.377873302,1.5025829911,,
-2.2846671164,0.5686640168,1506365908.47425,0.020001173,0.6571911449,0.3207518075,,
-2.2359970822,0.5960246804,1506365908.49424,0.0199990273,0.0486700342,0.0273606637,,
-3.4902892345,2.031969614,1506365908.52425,0.0300028324,1.2542921523,1.4359449336,,
-3.4169172822,3.6178735752,1506365908.55424,0.0299971104,0.0733719523,1.5859039612,,
-3.489178023,3.466569024,1506365908.57546,0.0212130547,0.0722607408,0.1513045512,,
-3.1347259408,2.6708114807,1506365908.59548,0.0200259686,0.3544520822,0.7957575433,,
-2.3796792388,1.5513761153,1506365908.61674,0.0212578773,0.755046702,1.1194353654,,
-0.8881321338,0.0456347396,1506365908.63672,0.019974947,1.491547105,1.5057413757,,
0.6435508714,-2.1709027008,1506365908.65678,0.0200641155,1.5316830052,2.2165374403,,
3.2293828009,-6.82330371,1506365908.67796,0.0211799145,2.5858319296,4.6524010092,,
4.6357185899,-9.3121798521,1506365908.70047,0.0225110054,1.4063357889,2.4888761421,,
5.702145404,-13.4990110331,1506365908.72795,0.0274829865,1.0664268141,4.1868311811,,
5.8049912418,-14.474935064,1506365908.74797,0.0200130939,0.1028458379,0.9759240309,,
6.3444620578,-15.1818801915,1506365908.76796,0.0199940205,0.539470816,0.7069451275,,
6.5722400744,-15.1636408851,1506365908.7892,0.0212409496,0.2277780166,0.0182393064,,
6.5956309693,-14.0039600716,1506365908.81044,0.0212359428,0.0233908949,1.1596808135,,
5.8377923763,-12.6521689867,1506365908.82921,0.0187721252,0.757838593,1.3517910849,,
5.9541747811,-11.2375694731,1506365908.84922,0.0200119019,0.1163824048,1.4145995137,,
5.0080987912,-7.4140064975,1506365908.88046,0.0312371254,0.9460759899,3.8235629756,,
4.0978407803,-5.3228527656,1506365908.90049,0.0200278759,0.9102580109,2.0911537319,,
2.6330814893,-2.8617407107,1506365908.9217,0.0212161541,1.464759291,2.4611120549,,
3.5303361204,-1.1620647083,1506365908.94169,0.0199878216,0.8972546311,1.6996760025,,
3.2682745434,0.1014281529,1506365908.96048,0.0187861919,0.262061577,1.2634928612,,
3.184884865,0.8664875533,1506365908.98046,0.0199828148,0.0833896784,0.7650594004,,
3.4546625191,1.4118777053,1506365909.00047,0.0200140476,0.2697776541,0.545390152,,
3.274610501,2.5262417943,1506365909.02047,0.0199980736,0.1800520181,1.114364089,,
2.9184481262,2.903503324,1506365909.04172,0.0212450027,0.3561623749,0.3772615297,,
2.8376251359,3.5013729434,1506365909.06298,0.0212600231,0.0808229903,0.5978696194,,
2.985735655,3.7131734547,1506365909.08295,0.0199708939,0.1481105192,0.2118005112,,
1.9989981003,4.9476440485,1506365909.10295,0.020004034,0.9867375547,1.2344705939,,
2.8107106469,5.2374983483,1506365909.12296,0.0200059414,0.8117125465,0.2898542998,,
2.8806255646,5.9437966841,1506365909.14295,0.0199961662,0.0699149177,0.7062983358,,
2.7554865376,6.503729253,1506365909.16419,0.0212318897,0.125139027,0.5599325689,,
3.1522509802,7.9303268975,1506365909.18293,0.0187439919,0.3967644426,1.4265976444,,
3.4560270072,8.6810840411,1506365909.20295,0.0200240612,0.303776027,0.7507571436,,
3.8662796717,9.2021730782,1506365909.22426,0.0213048458,0.4102526646,0.5210890371,,
3.6578916631,9.8126124822,1506365909.24293,0.0186750889,0.2083880087,0.610439404,,
3.901109333,10.7774929365,1506365909.26545,0.0225169659,0.2432176699,0.9648804544,,
3.8495401497,10.9412614192,1506365909.28544,0.0199840069,0.0515691833,0.1637684827,,
3.7471139002,11.2450318334,1506365909.30546,0.0200250149,0.1024262495,0.3037704142,,
3.9794322501,10.9964205805,1506365909.33047,0.0250070095,0.2323183499,0.2486112529,,
4.1854990759,10.7508419741,1506365909.35545,0.0249829292,0.2060668258,0.2455786064,,
4.5697822854,10.9125590281,1506365909.37795,0.0225000381,0.3842832095,0.161717054,,
4.6964653145,10.9778479801,1506365909.40543,0.0274820328,0.126683029,0.065288952,,
4.5195487644,11.1360320611,1506365909.42669,0.02125597,0.1769165501,0.158184081,,
4.9246975041,11.3504482969,1506365909.4467,0.0200140476,0.4051487397,0.2144162359,,
4.6119217275,11.3791800777,1506365909.46794,0.0212349892,0.3127757766,0.0287317808,,
4.6928649802,11.5450221619,1506365909.48793,0.0199949741,0.0809432528,0.1658420842,,
4.830617612,11.6627006885,1506365909.50793,0.0199940205,0.1377526317,0.1176785266,,
5.4767189547,11.7576504642,1506365909.52918,0.02125597,0.6461013427,0.0949497756,,
5.3318825159,11.4868338555,1506365909.55045,0.021269083,0.1448364387,0.2708166087,,
